year,month,co2_ppm,temp_anomaly_C
1964,5,322.25,-0.25
1964,6,321.9,-0.04
1964,7,320.44,-0.04
1964,8,318.69,-0.22
1964,9,316.71,-0.29
1964,10,316.87,-0.31
1964,11,317.68,-0.21
1964,12,318.71,-0.29
1965,1,319.44,-0.08
1965,2,320.44,-0.17
1965,3,320.89,-0.13
1965,4,322.13,-0.19
1965,5,322.17,-0.12
1965,6,321.88,-0.08
1965,7,321.21,-0.13
1965,8,318.87,-0.04
1965,9,317.82,-0.15
1965,10,317.3,-0.05
1965,11,318.87,-0.06
1965,12,319.42,-0.08
1966,1,320.62,-0.19
1966,2,321.6,-0.04
1966,3,322.39,0.04
1966,4,323.7,-0.13
1966,5,324.08,-0.12
1966,6,323.75,0.01
1966,7,322.37,0.08
1966,8,320.36,-0.09
1966,9,318.64,-0.03
1966,10,318.1,-0.17
1966,11,319.78,0
1966,12,321.02,-0.02
1967,1,322.33,-0.07
1967,2,322.5,-0.2
1967,3,323.03,0.05
1967,4,324.41,-0.05
1967,5,325,0.12
1967,6,324.1,-0.08
1967,7,322.54,0.02
1967,8,320.92,0.01
1967,9,319.25,-0.06
1967,10,319.39,0.09
1967,11,320.73,-0.05
1967,12,321.96,-0.05
1968,1,322.57,-0.26
1968,2,323.15,-0.14
1968,3,323.89,0.2
1968,4,325.02,-0.05
1968,5,325.57,-0.14
1968,6,325.36,-0.09
1968,7,324.14,-0.13
1968,8,322.11,-0.09
1968,9,320.33,-0.19
1968,10,320.25,0.09
1968,11,321.32,-0.05
1968,12,322.89,-0.14
1969,1,324,-0.11
1969,2,324.41,-0.18
1969,3,325.63,0.01
1969,4,326.66,0.17
1969,5,327.38,0.18
1969,6,326.71,0.03
1969,7,325.88,-0.05
1969,8,323.66,0.04
1969,9,322.38,0.08
1969,10,321.78,0.09
1969,11,322.85,0.12
1969,12,324.11,0.24
1970,1,325.06,0.08
1970,2,325.99,0.22
1970,3,326.93,0.06
1970,4,328.13,0.05
1970,5,328.08,-0.03
1970,6,327.67,-0.02
1970,7,326.34,0.02
1970,8,324.68,-0.1
1970,9,323.1,0.12
1970,10,323.06,0.03
1970,11,324.01,0.02
1970,12,325.13,-0.12
1971,1,326.17,-0.02
1971,2,326.68,-0.15
1971,3,327.18,-0.18
1971,4,327.78,-0.07
1971,5,328.93,-0.05
1971,6,328.57,-0.16
1971,7,327.36,-0.08
1971,8,325.43,-0.01
